customer_id,tenure_days,merchant_category,preferred_payment_method,historical_success_rate,historical_failure_rate,velocity_24h,time_since_last_success_days
cust_100000,57,SaaS,wallet,0.2375,0.7625,1,16.7
cust_100001,21,E-commerce,UPI,0.1512,0.8488,1,27.31
cust_100002,3,Gaming,wallet,0.311,0.689,1,17.01
cust_100003,25,SaaS,UPI,0.2163,0.7837,0,20.66
cust_100004,42,Gaming,card,0.1994,0.8006,0,18.46
cust_100005,55,Gaming,UPI,0.8258,0.1742,1,7.22
cust_100006,108,Edtech,UPI,0.7018,0.2982,0,1.87
cust_100007,9,E-commerce,netbanking,0.7953,0.2047,2,1.03
cust_100008,139,E-commerce,UPI,0.9138,0.0862,0,6.84
cust_100009,5,SaaS,netbanking,0.1484,0.8516,0,25.86
cust_100010,45,Edtech,card,0.926,0.074,0,2.04
cust_100011,420,Financial Services,card,0.9725,0.0275,2,25.49
cust_100012,12,Financial Services,UPI,0.2466,0.7534,0,18.94
cust_100013,60,Gaming,UPI,0.8013,0.1987,1,3.3
cust_100014,94,E-commerce,UPI,0.7128,0.2872,1,43.34
cust_100015,178,E-commerce,UPI,0.9759,0.0241,0,16.9
cust_100016,148,E-commerce,card,0.8064,0.1936,1,4.44
cust_100017,15,Financial Services,netbanking,0.8022,0.1978,0,4.02
cust_100018,8,Edtech,UPI,0.8876,0.1124,0,13.08
cust_100019,122,SaaS,netbanking,0.7479,0.2521,0,1.27
cust_100020,150,E-commerce,card,0.8062,0.1938,0,14.74
cust_100021,82,Gaming,card,0.7908,0.2092,0,0.26
cust_100022,14,SaaS,UPI,0.709,0.291,0,3.77
cust_100023,86,Edtech,netbanking,0.7185,0.2815,0,5.28
cust_100024,170,Gaming,UPI,0.7881,0.2119,0,3.42
cust_100025,22,Financial Services,netbanking,0.9561,0.0439,1,20.52
cust_100026,196,Financial Services,UPI,0.1698,0.8302,1,31.47
cust_100027,272,Gaming,UPI,0.9092,0.0908,0,2.59
cust_100028,67,Financial Services,netbanking,0.8118,0.1882,1,7.15
cust_100029,65,E-commerce,UPI,0.7387,0.2613,0,4.12
cust_100030,344,Financial Services,UPI,0.1236,0.8764,0,27.14
cust_100031,55,SaaS,wallet,0.7448,0.2552,1,6.88
cust_100032,43,Financial Services,UPI,0.8077,0.1923,0,9.4
cust_100033,84,Gaming,UPI,0.8482,0.1518,0,23.89
