transaction_id,customer_id,amount,timestamp,payment_method,merchant_category,status,gateway_code,failure_reason,is_retry,retry_count,original_transaction_id,recovered,recovered_amount,recovery_intervention
pay_200000,cust_104983,14164.51,2026-06-23 00:38:25.546112,card,Financial Services,captured,,,False,0,,False,0.0,none
pay_200001,cust_109924,1000.0,2026-06-23 00:39:22.546112,netbanking,Gaming,failed,BAD_REQUEST_PAYMENT_CARD_BLOCKED,Card blocked by issuer bank,False,0,,False,0.0,none
pay_200002,cust_107659,34411.28,2026-06-23 00:40:22.546112,card,Edtech,captured,,,False,0,,False,0.0,none
pay_200003,cust_103947,6071.91,2026-06-23 00:41:41.546112,UPI,Edtech,captured,,,False,0,,False,0.0,none
pay_200004,cust_107052,18029.95,2026-06-23 00:43:42.546112,netbanking,Edtech,captured,GATEWAY_ERROR_ISSUER_DOWN,Bank issuer down or unresponsive,False,0,,True,18029.95,retry
pay_200005,cust_109822,1999.0,2026-06-23 00:45:35.546112,card,SaaS,captured,BAD_REQUEST_PAYMENT_OTP_INCORRECT,Incorrect OTP entered,False,0,,True,1999.0,reminder
pay_200006,cust_102765,250.0,2026-06-23 00:47:58.546112,card,Gaming,captured,,,False,0,,False,0.0,none
pay_200007,cust_108518,9999.0,2026-06-23 00:50:26.546112,UPI,SaaS,captured,,,False,0,,False,0.0,none
pay_200008,cust_110093,1000.0,2026-06-23 00:51:24.546112,UPI,Gaming,captured,,,False,0,,False,0.0,none
pay_200009,cust_104174,1000.0,2026-06-23 00:51:43.546112,UPI,Gaming,captured,,,False,0,,False,0.0,none
pay_200010,cust_110649,14999.0,2026-06-23 00:54:37.546112,UPI,SaaS,captured,,,False,0,,False,0.0,none
pay_200011,cust_106999,999.0,2026-06-23 00:57:31.546112,card,SaaS,captured,,,False,0,,False,0.0,none
pay_200012,cust_101420,1000.0,2026-06-23 00:58:44.546112,UPI,Gaming,failed,BAD_REQUEST_PAYMENT_OTP_INCORRECT,Incorrect OTP entered,False,0,,False,0.0,none
pay_200013,cust_108851,1000.0,2026-06-23 00:59:57.546112,UPI,Gaming,captured,GATEWAY_ERROR_ISSUER_DOWN,Bank issuer down or unresponsive,False,0,,True,1000.0,retry
pay_200014,cust_100453,73182.75,2026-06-23 01:00:43.546112,card,Financial Services,captured,,,False,0,,False,0.0,none
